Yzero,0.0,,-19.9480000,-19.6875017E-3,,Yzero,-3.90660766,,-19.9480000,1.1870313,,Yzero,0.0,,-19.9480000,-324.37500358E-3,,Yzero,0.0,,-19.9480000,2.6226563,
Probe Atten,1.000000,,-19.9440002,-19.7500009E-3,,Probe Atten,49.99999619,,-19.9440002,1.1877344,,Probe Atten,1.000000,,-19.9440002,-324.99998808E-3,,Probe Atten,1.000000,,-19.9440002,2.6265626,
,,,-19.9400005,-19.9062508E-3,,,,,-19.9400005,1.1864063,,,,,-19.9400005,-327.49998569E-3,,,,,-19.9400005,2.6289063,
Note,MDO3014 - 15:52:23   2017/11/09,,-19.9360008,-20.0000014E-3,,Note,MDO3014 - 15:52:23   2017/11/09,,-19.9360008,1.1846875,,Note,MDO3014 - 15:52:23   2017/11/09,,-19.9360008,-328.74998450E-3,,Note,MDO3014 - 15:52:23   2017/11/09,,-19.9360008,2.6304688,
,,,-19.9319992,-20.12500167E-3,,,,,-19.9319992,1.1842968,,,,,-19.9319992,-331.24998212E-3,,,,,-19.9319992,2.6265626,
,,,-19.9279995,-20.21875046E-3,,,,,-19.9279995,1.1825000,,,,,-19.9279995,-328.12500000E-3,,,,,-19.9279995,2.6289063,
,,,-19.9239998,-20.21875046E-3,,,,,-19.9239998,1.1810156,,,,,-19.9239998,-332.18750358E-3,,,,,-19.9239998,2.6281250,
,,,-19.9200001,-20.43750137E-3,,,,,-19.9200001,1.1793749,,,,,-19.9200001,-338.12499046E-3,,,,,-19.9200001,2.6289063,
,,,-19.9160004,-20.62500082E-3,,,,,-19.9160004,1.1782812,,,,,-19.9160004,-339.06248212E-3,,,,,-19.9160004,2.6281250,
,,,-19.9120007,-20.75000107E-3,,,,,-19.9120007,1.1780468,,,,,-19.9120007,-341.25000238E-3,,,,,-19.9120007,2.6304688,
,,,-19.9080009,-20.90625092E-3,,,,,-19.9080009,1.1789844,,,,,-19.9080009,-341.25000238E-3,,,,,-19.9080009,2.6304688,
,,,-19.9039993,-20.78125067E-3,,,,,-19.9039993,1.1771094,,,,,-19.9039993,-343.12498569E-3,,,,,-19.9039993,2.6343751,
,,,-19.8999996,-20.78125067E-3,,,,,-19.8999996,1.1751562,,,,,-19.8999996,-345.31250596E-3,,,,,-19.8999996,2.6320312,
,,,-19.8959999,-21.06250077E-3,,,,,-19.8959999,1.1735938,,,,,-19.8959999,-345.93749046E-3,,,,,-19.8959999,2.6335938,
,,,-19.8920002,-20.93750052E-3,,,,,-19.8920002,1.1728125,,,,,-19.8920002,-345.93749046E-3,,,,,-19.8920002,2.6335938,
,,,-19.8880005,-21.09375037E-3,,,,,-19.8880005,1.1707031,,,,,-19.8880005,-349.99999404E-3,,,,,-19.8880005,2.6304688,
,,,-19.8840008,-21.31250128E-3,,,,,-19.8840008,1.1714063,,,,,-19.8840008,-351.56250000E-3,,,,,-19.8840008,2.6304688,
,,,-19.8799992,-21.40625194E-3,,,,,-19.8799992,1.1706250,,,,,-19.8799992,-351.24999285E-3,,,,,-19.8799992,2.6304688,
,,,-19.8759995,-21.31250128E-3,,,,,-19.8759995,1.1699219,,,,,-19.8759995,-352.81249881E-3,,,,,-19.8759995,2.6304688,
,,,-19.8719997,-21.31250128E-3,,,,,-19.8719997,1.1677344,,,,,-19.8719997,-355.31249642E-3,,,,,-19.8719997,2.6265626,
,,,-19.8680000,-21.68750018E-3,,,,,-19.8680000,1.1671875,,,,,-19.8680000,-358.43747854E-3,,,,,-19.8680000,2.6250000,
,,,-19.8640003,-21.75000124E-3,,,,,-19.8640003,1.1646093,,,,,-19.8640003,-360.62499881E-3,,,,,-19.8640003,2.6250000,
,,,-19.8600006,-21.75000124E-3,,,,,-19.8600006,1.1640625,,,,,-19.8600006,-363.12499642E-3,,,,,-19.8600006,2.6265626,
,,,-19.8560009,-21.56250179E-3,,,,,-19.8560009,1.1648437,,,,,-19.8560009,-363.12499642E-3,,,,,-19.8560009,2.6304688,
